date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:57:07	110/110	---M--	200	added ('OK')	text/plain	etag:%220d4542bc0c8d01:0%22	http://www.vilagradwines.co.nz/robots.txt		(from )
15:57:07	32892/32892	---M--	200	added ('OK')	text/html	date:Thu,%2020%20Jul%202017%2003:57:04%20GMT	http://www.vilagradwines.co.nz/	C:/Users/Super/Google%20Drive/The%20Website%20Company%20Assets/Customers/Exisisting%20Customers/Gail%20Jones/gailstamahere/Gailhttrak/www.vilagradwines.co.nz/index.html	(from )
15:57:08	236/236	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2020%20Jul%202017%2003:57:04%20GMT	http://www.vilagradwines.co.nz/Content/themes/base/all-bundled.css?v=khU3GP_ixo8tMiLwXJEqkRywEE1c7SBpfpbj4KSDyXA1	C:/Users/Super/Google%20Drive/The%20Website%20Company%20Assets/Customers/Exisisting%20Customers/Gail%20Jones/gailstamahere/Gailhttrak/www.vilagradwines.co.nz/Content/themes/base/all-bundled.0d5fc.delayed	(from http://www.vilagradwines.co.nz/)
15:57:08	28282/28282	---M--	200	added ('OK')	text/css	date:Thu,%2020%20Jul%202017%2003:57:05%20GMT	http://www.vilagradwines.co.nz/content/themes/base/all-bundled.css?v=khU3GP_ixo8tMiLwXJEqkRywEE1c7SBpfpbj4KSDyXA1	C:/Users/Super/Google%20Drive/The%20Website%20Company%20Assets/Customers/Exisisting%20Customers/Gail%20Jones/gailstamahere/Gailhttrak/www.vilagradwines.co.nz/content/themes/base/all-bundledd5fc.css	(from http://www.vilagradwines.co.nz/)
15:57:09	103237/103237	---M--	200	added ('OK')	text/css	etag:%220fc24f55d0d01:0%22	http://www.vilagradwines.co.nz/Content/AdminFrontend.css?v=a0d2ecd8-2240-4944-9ae0-cd12736efd28	C:/Users/Super/Google%20Drive/The%20Website%20Company%20Assets/Customers/Exisisting%20Customers/Gail%20Jones/gailstamahere/Gailhttrak/www.vilagradwines.co.nz/Content/AdminFrontend292a.css	(from http://www.vilagradwines.co.nz/)
15:57:10	2030/2030	---M--	200	added ('OK')	text/css	etag:%2201862cc0c8d01:0%22	http://www.vilagradwines.co.nz/Scripts/shadowbox/shadowbox.css	C:/Users/Super/Google%20Drive/The%20Website%20Company%20Assets/Customers/Exisisting%20Customers/Gail%20Jones/gailstamahere/Gailhttrak/www.vilagradwines.co.nz/Scripts/shadowbox/shadowbox.css	(from http://www.vilagradwines.co.nz/)
15:57:11	318/318	---M--	200	added ('OK')	image/x-icon	etag:%220184cdaa396d01:0%22	http://www.vilagradwines.co.nz/UserFiles/VilagradWines/favicon.ico	C:/Users/Super/Google%20Drive/The%20Website%20Company%20Assets/Customers/Exisisting%20Customers/Gail%20Jones/gailstamahere/Gailhttrak/www.vilagradwines.co.nz/UserFiles/VilagradWines/favicon.ico	(from http://www.vilagradwines.co.nz/)
15:57:11	230/230	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2020%20Jul%202017%2003:57:08%20GMT	http://www.vilagradwines.co.nz/Content/bootstrap-bundled.css?v=LopV7sR0PywufK81-SuWkZQzYBDxpce17ye48bBkprE1	C:/Users/Super/Google%20Drive/The%20Website%20Company%20Assets/Customers/Exisisting%20Customers/Gail%20Jones/gailstamahere/Gailhttrak/www.vilagradwines.co.nz/Content/bootstrap-bundled.5786f.delayed	(from http://www.vilagradwines.co.nz/)
15:57:12	116397/116397	---M--	200	added ('OK')	text/css	date:Thu,%2020%20Jul%202017%2003:57:08%20GMT	http://www.vilagradwines.co.nz/content/bootstrap-bundled.css?v=LopV7sR0PywufK81-SuWkZQzYBDxpce17ye48bBkprE1	C:/Users/Super/Google%20Drive/The%20Website%20Company%20Assets/Customers/Exisisting%20Customers/Gail%20Jones/gailstamahere/Gailhttrak/www.vilagradwines.co.nz/content/bootstrap-bundled786f.css	(from http://www.vilagradwines.co.nz/)
15:57:13	65960/65960	---M--	200	added ('OK')	text/css	etag:%222e661ca21d31:0%22	http://www.vilagradwines.co.nz/themes/VilagradWines/content/site.css?v=a0d2ecd8-2240-4944-9ae0-cd12736efd28	C:/Users/Super/Google%20Drive/The%20Website%20Company%20Assets/Customers/Exisisting%20Customers/Gail%20Jones/gailstamahere/Gailhttrak/www.vilagradwines.co.nz/themes/VilagradWines/content/site292a.css	(from http://www.vilagradwines.co.nz/)
15:57:15	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Thu,%2020%20Jul%202017%2003:57:10%20GMT	http://www.googletagmanager.com/gtm.js?id=	C:/Users/Super/Google%20Drive/The%20Website%20Company%20Assets/Customers/Exisisting%20Customers/Gail%20Jones/gailstamahere/Gailhttrak/www.googletagmanager.com/gtm.85445.delayed	(from http://www.vilagradwines.co.nz/)
15:57:15	1362/1362	---M--	200	added ('OK')	image/png	etag:%22c67d652339e1d01:0%22	http://www.vilagradwines.co.nz/themes/vilagradwines/images/facebook.png	C:/Users/Super/Google%20Drive/The%20Website%20Company%20Assets/Customers/Exisisting%20Customers/Gail%20Jones/gailstamahere/Gailhttrak/www.vilagradwines.co.nz/themes/vilagradwines/images/facebook.png	(from http://www.vilagradwines.co.nz/)
15:57:15	1533/1533	---M--	200	added ('OK')	image/png	etag:%225231de2439e1d01:0%22	http://www.vilagradwines.co.nz/themes/vilagradwines/images/youtube.png	C:/Users/Super/Google%20Drive/The%20Website%20Company%20Assets/Customers/Exisisting%20Customers/Gail%20Jones/gailstamahere/Gailhttrak/www.vilagradwines.co.nz/themes/vilagradwines/images/youtube.png	(from http://www.vilagradwines.co.nz/)
15:57:15	8094/8094	---M--	200	added ('OK')	image/png	etag:%22051da2339e1d01:0%22	http://www.vilagradwines.co.nz/themes/vilagradwines/images/logo.png	C:/Users/Super/Google%20Drive/The%20Website%20Company%20Assets/Customers/Exisisting%20Customers/Gail%20Jones/gailstamahere/Gailhttrak/www.vilagradwines.co.nz/themes/vilagradwines/images/logo.png	(from http://www.vilagradwines.co.nz/)
15:57:15	163/163	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2020%20Jul%202017%2003:57:12%20GMT	http://www.vilagradwines.co.nz/bookings	C:/Users/Super/Google%20Drive/The%20Website%20Company%20Assets/Customers/Exisisting%20Customers/Gail%20Jones/gailstamahere/Gailhttrak/www.vilagradwines.co.nz/bookings.c.delayed	(from http://www.vilagradwines.co.nz/)
15:57:17	4409/4409	---M--	200	added ('OK')	image/jpeg	etag:%22021a61c4fd01:0%22	http://www.vilagradwines.co.nz/UserFiles/VilagradWines/NivoSlider/97/generated/slide01_1_2_thumb.jpg	C:/Users/Super/Google%20Drive/The%20Website%20Company%20Assets/Customers/Exisisting%20Customers/Gail%20Jones/gailstamahere/Gailhttrak/www.vilagradwines.co.nz/UserFiles/VilagradWines/NivoSlider/97/generated/slide01_1_2_thumb.jpg	(from http://www.vilagradwines.co.nz/)
15:57:18	44983/44983	---M--	200	added ('OK')	text/html	date:Thu,%2020%20Jul%202017%2003:57:14%20GMT	http://www.vilagradwines.co.nz/our-wines/	C:/Users/Super/Google%20Drive/The%20Website%20Company%20Assets/Customers/Exisisting%20Customers/Gail%20Jones/gailstamahere/Gailhttrak/www.vilagradwines.co.nz/our-wines/index.html	(from http://www.vilagradwines.co.nz/)
15:57:18	24189/24189	---M--	200	added ('OK')	text/html	date:Thu,%2020%20Jul%202017%2003:57:14%20GMT	http://www.vilagradwines.co.nz/media/photo-gallery/	C:/Users/Super/Google%20Drive/The%20Website%20Company%20Assets/Customers/Exisisting%20Customers/Gail%20Jones/gailstamahere/Gailhttrak/www.vilagradwines.co.nz/media/photo-gallery/index.html	(from http://www.vilagradwines.co.nz/)
15:57:18	24402/24402	---M--	200	added ('OK')	text/html	date:Thu,%2020%20Jul%202017%2003:57:14%20GMT	http://www.vilagradwines.co.nz/media/video-gallery/	C:/Users/Super/Google%20Drive/The%20Website%20Company%20Assets/Customers/Exisisting%20Customers/Gail%20Jones/gailstamahere/Gailhttrak/www.vilagradwines.co.nz/media/video-gallery/index.html	(from http://www.vilagradwines.co.nz/)
15:57:20	25549/25549	---M--	200	added ('OK')	text/html	date:Thu,%2020%20Jul%202017%2003:57:15%20GMT	http://www.vilagradwines.co.nz/bookings/	C:/Users/Super/Google%20Drive/The%20Website%20Company%20Assets/Customers/Exisisting%20Customers/Gail%20Jones/gailstamahere/Gailhttrak/www.vilagradwines.co.nz/bookings/index.html	(from http://www.vilagradwines.co.nz/)
15:57:20	29405/29405	---M--	200	added ('OK')	text/html	date:Thu,%2020%20Jul%202017%2003:57:15%20GMT	http://www.vilagradwines.co.nz/sunday-lunch/	C:/Users/Super/Google%20Drive/The%20Website%20Company%20Assets/Customers/Exisisting%20Customers/Gail%20Jones/gailstamahere/Gailhttrak/www.vilagradwines.co.nz/sunday-lunch/index.html	(from http://www.vilagradwines.co.nz/)
15:57:22	24693/24693	---M--	200	added ('OK')	text/html	date:Thu,%2020%20Jul%202017%2003:57:16%20GMT	http://www.vilagradwines.co.nz/weddings/	C:/Users/Super/Google%20Drive/The%20Website%20Company%20Assets/Customers/Exisisting%20Customers/Gail%20Jones/gailstamahere/Gailhttrak/www.vilagradwines.co.nz/weddings/index.html	(from http://www.vilagradwines.co.nz/)
15:57:22	26754/26754	---M--	200	added ('OK')	text/html	date:Thu,%2020%20Jul%202017%2003:57:17%20GMT	http://www.vilagradwines.co.nz/functions/	C:/Users/Super/Google%20Drive/The%20Website%20Company%20Assets/Customers/Exisisting%20Customers/Gail%20Jones/gailstamahere/Gailhttrak/www.vilagradwines.co.nz/functions/index.html	(from http://www.vilagradwines.co.nz/)
15:57:24	3571/3571	---M--	200	added ('OK')	image/jpeg	etag:%2207d1463881d01:0%22	http://www.vilagradwines.co.nz/UserFiles/VilagradWines/NivoSlider/97/generated/homebanner6_2_thumb.jpg	C:/Users/Super/Google%20Drive/The%20Website%20Company%20Assets/Customers/Exisisting%20Customers/Gail%20Jones/gailstamahere/Gailhttrak/www.vilagradwines.co.nz/UserFiles/VilagradWines/NivoSlider/97/generated/homebanner6_2_thumb.jpg	(from http://www.vilagradwines.co.nz/)
15:57:24	23220/23220	---M--	200	added ('OK')	text/html	date:Thu,%2020%20Jul%202017%2003:57:18%20GMT	http://www.vilagradwines.co.nz/accommodation/	C:/Users/Super/Google%20Drive/The%20Website%20Company%20Assets/Customers/Exisisting%20Customers/Gail%20Jones/gailstamahere/Gailhttrak/www.vilagradwines.co.nz/accommodation/index.html	(from http://www.vilagradwines.co.nz/)
15:57:25	24846/24846	---M--	200	added ('OK')	text/html	date:Thu,%2020%20Jul%202017%2003:57:22%20GMT	http://www.vilagradwines.co.nz/media/news/	C:/Users/Super/Google%20Drive/The%20Website%20Company%20Assets/Customers/Exisisting%20Customers/Gail%20Jones/gailstamahere/Gailhttrak/www.vilagradwines.co.nz/media/news/index.html	(from http://www.vilagradwines.co.nz/)
15:57:26	21703/21703	---M--	200	added ('OK')	text/html	date:Thu,%2020%20Jul%202017%2003:57:22%20GMT	http://www.vilagradwines.co.nz/media/media-kit/	C:/Users/Super/Google%20Drive/The%20Website%20Company%20Assets/Customers/Exisisting%20Customers/Gail%20Jones/gailstamahere/Gailhttrak/www.vilagradwines.co.nz/media/media-kit/index.html	(from http://www.vilagradwines.co.nz/)
15:57:27	26440/26440	---M--	200	added ('OK')	text/html	date:Thu,%2020%20Jul%202017%2003:57:23%20GMT	http://www.vilagradwines.co.nz/about/	C:/Users/Super/Google%20Drive/The%20Website%20Company%20Assets/Customers/Exisisting%20Customers/Gail%20Jones/gailstamahere/Gailhttrak/www.vilagradwines.co.nz/about/index.html	(from http://www.vilagradwines.co.nz/)
15:57:28	4577/4577	---M--	200	added ('OK')	image/jpeg	etag:%220db736ed4fd01:0%22	http://www.vilagradwines.co.nz/UserFiles/VilagradWines/NivoSlider/97/generated/slide03_1_1_thumb.jpg	C:/Users/Super/Google%20Drive/The%20Website%20Company%20Assets/Customers/Exisisting%20Customers/Gail%20Jones/gailstamahere/Gailhttrak/www.vilagradwines.co.nz/UserFiles/VilagradWines/NivoSlider/97/generated/slide03_1_1_thumb.jpg	(from http://www.vilagradwines.co.nz/)
15:57:29	25932/25932	---M--	200	added ('OK')	text/html	date:Thu,%2020%20Jul%202017%2003:57:26%20GMT	http://www.vilagradwines.co.nz/about/our-history/	C:/Users/Super/Google%20Drive/The%20Website%20Company%20Assets/Customers/Exisisting%20Customers/Gail%20Jones/gailstamahere/Gailhttrak/www.vilagradwines.co.nz/about/our-history/index.html	(from http://www.vilagradwines.co.nz/)
15:57:36	161212/161212	---M--	200	added ('OK')	image/jpeg	etag:%22021a61c4fd01:0%22	http://www.vilagradwines.co.nz/UserFiles/VilagradWines/NivoSlider/97/slide01_1_2.jpg	C:/Users/Super/Google%20Drive/The%20Website%20Company%20Assets/Customers/Exisisting%20Customers/Gail%20Jones/gailstamahere/Gailhttrak/www.vilagradwines.co.nz/UserFiles/VilagradWines/NivoSlider/97/slide01_1_2.jpg	(from http://www.vilagradwines.co.nz/)
15:57:37	24402/24402	---M--	200	added ('OK')	text/html	date:Thu,%2020%20Jul%202017%2003:57:33%20GMT	http://www.vilagradwines.co.nz/about/venue-site-map/	C:/Users/Super/Google%20Drive/The%20Website%20Company%20Assets/Customers/Exisisting%20Customers/Gail%20Jones/gailstamahere/Gailhttrak/www.vilagradwines.co.nz/about/venue-site-map/index.html	(from http://www.vilagradwines.co.nz/)
15:57:39	5076/5076	---M--	200	added ('OK')	image/jpeg	etag:%22084cfd42873d01:0%22	http://www.vilagradwines.co.nz/UserFiles/VilagradWines/NivoSlider/97/generated/homebanner5_2_thumb.jpg	C:/Users/Super/Google%20Drive/The%20Website%20Company%20Assets/Customers/Exisisting%20Customers/Gail%20Jones/gailstamahere/Gailhttrak/www.vilagradwines.co.nz/UserFiles/VilagradWines/NivoSlider/97/generated/homebanner5_2_thumb.jpg	(from http://www.vilagradwines.co.nz/)
15:57:39	36474/36474	---M--	200	added ('OK')	text/html	date:Thu,%2020%20Jul%202017%2003:57:36%20GMT	http://www.vilagradwines.co.nz/about/job-vacancies/	C:/Users/Super/Google%20Drive/The%20Website%20Company%20Assets/Customers/Exisisting%20Customers/Gail%20Jones/gailstamahere/Gailhttrak/www.vilagradwines.co.nz/about/job-vacancies/index.html	(from http://www.vilagradwines.co.nz/)
15:57:55	96321/96321	---M--	200	added ('OK')	image/jpeg	etag:%22059cd1963add01:0%22	http://www.vilagradwines.co.nz/UserFiles/VilagradWines/NivoSlider/97/homepage_banner_1.jpg	C:/Users/Super/Google%20Drive/The%20Website%20Company%20Assets/Customers/Exisisting%20Customers/Gail%20Jones/gailstamahere/Gailhttrak/www.vilagradwines.co.nz/UserFiles/VilagradWines/NivoSlider/97/homepage_banner_1.jpg	(from http://www.vilagradwines.co.nz/)
